date,sector,index,price,chg_1d,chg_5d,rs,score,rank
2026-06-14,IT,NIFTY IT,27795.75,-0.09,0.0,0.0,0.0,1
2026-06-14,Banking,NIFTY BANK,56814.8,2.97,0.0,0.0,0.0,2
2026-06-14,FMCG,NIFTY FMCG,48827.6,0.63,0.0,0.0,0.0,3
2026-06-14,Auto,NIFTY AUTO,26293.85,1.95,0.0,0.0,0.0,4
2026-06-14,Pharma,NIFTY PHARMA,24380.05,0.3,0.0,0.0,0.0,5
2026-06-14,Metal,NIFTY METAL,12854.5,0.95,0.0,0.0,0.0,6
2026-06-14,Energy,NIFTY ENERGY,39244.45,1.52,0.0,0.0,0.0,7
2026-06-14,Realty,NIFTY REALTY,769.6,3.53,0.0,0.0,0.0,8
2026-06-14,Infra,NIFTY INFRA,9236.8,2.35,0.0,0.0,0.0,9
2026-06-14,Media,NIFTY MEDIA,1487.6,1.51,0.0,0.0,0.0,10
2026-06-15,IT,NIFTY IT,28067.85,0.98,0.0,0.0,0.0,1
2026-06-15,Banking,NIFTY BANK,57198.8,0.68,0.0,0.0,0.0,2
2026-06-15,FMCG,NIFTY FMCG,49043.4,0.44,0.0,0.0,0.0,3
2026-06-15,Auto,NIFTY AUTO,26977.5,2.6,0.0,0.0,0.0,4
2026-06-15,Pharma,NIFTY PHARMA,24220.1,-0.66,0.0,0.0,0.0,5
2026-06-15,Metal,NIFTY METAL,13083.85,1.78,0.0,0.0,0.0,6
2026-06-15,Energy,NIFTY ENERGY,39493.95,0.64,0.0,0.0,0.0,7
2026-06-15,Realty,NIFTY REALTY,800.05,3.96,0.0,0.0,0.0,8
2026-06-15,Infra,NIFTY INFRA,9370.7,1.45,0.0,0.0,0.0,9
2026-06-15,Media,NIFTY MEDIA,1485.5,-0.14,0.0,0.0,0.0,10
2026-06-16,IT,NIFTY IT,28568.1,1.78,0.0,0.0,0.0,1
2026-06-16,Banking,NIFTY BANK,57297.15,0.17,0.0,0.0,0.0,2
2026-06-16,FMCG,NIFTY FMCG,49642.4,1.22,0.0,0.0,0.0,3
2026-06-16,Auto,NIFTY AUTO,26891.55,-0.32,0.0,0.0,0.0,4
2026-06-16,Pharma,NIFTY PHARMA,24157.85,-0.26,0.0,0.0,0.0,5
2026-06-16,Metal,NIFTY METAL,12881.5,-1.55,0.0,0.0,0.0,6
2026-06-16,Energy,NIFTY ENERGY,39915.4,1.07,0.0,0.0,0.0,7
2026-06-16,Realty,NIFTY REALTY,818.1,2.26,0.0,0.0,0.0,8
2026-06-16,Infra,NIFTY INFRA,9426.7,0.6,0.0,0.0,0.0,9
2026-06-16,Media,NIFTY MEDIA,1506.3,1.4,0.0,0.0,0.0,10
2026-06-18,IT,NIFTY IT,28466.45,-1.19,0.0,0.0,0.0,1
2026-06-18,Banking,NIFTY BANK,57963.8,0.66,0.0,0.0,0.0,2
2026-06-18,FMCG,NIFTY FMCG,49654.5,0.2,0.0,0.0,0.0,3
2026-06-18,Auto,NIFTY AUTO,26746.4,0.08,0.0,0.0,0.0,4
2026-06-18,Pharma,NIFTY PHARMA,24282.2,0.56,0.0,0.0,0.0,5
2026-06-18,Metal,NIFTY METAL,13010.4,-0.01,0.0,0.0,0.0,6
2026-06-18,Energy,NIFTY ENERGY,40457.3,0.54,0.0,0.0,0.0,7
2026-06-18,Realty,NIFTY REALTY,820.2,0.69,0.0,0.0,0.0,8
2026-06-18,Infra,NIFTY INFRA,9499.7,0.31,0.0,0.0,0.0,9
2026-06-18,Media,NIFTY MEDIA,1513.95,0.55,0.0,0.0,0.0,10
2026-06-19,IT,NIFTY IT,27426.85,-3.65,0.0,0.0,0.0,1
2026-06-19,Banking,NIFTY BANK,57685.75,-0.48,0.0,0.0,0.0,2
2026-06-19,FMCG,NIFTY FMCG,49558.7,-0.19,0.0,0.0,0.0,3
